Neighborhood,Fire total,Fire Call Alarm,Fire Call Non Life-threatening,Fire Call Fire,Fire Call Potentially Life-Threatening,Fire Transport,Fire Priority 3,Business total,Business NAICS Retail Trade,Business NAICS Financial Services,Business NAICS Construction,"Business NAICS Professional, Scientific, and Technical Services",Business NAICS Food Services,Business NAICS Real Estate and Rental and Leasing Services,Business NAICS Information,Business NAICS Accommodations,Business NAICS Transportation and Warehousing,Business NAICS Certain Services,Business NAICS Wholesale Trade,Business NAICS Manufacturing,Business NAICS Administrative and Support Services,Business NAICS Multiple,Business NAICS Private Education and Health Services,"Business NAICS Arts, Entertainment, and Recreation",Business NAICS Insurance,Business NAICS Utilities
Bayview Hunters Point,105716,21348,24340,7331,52468,29396,76838,6509,383,29,681,256,300,288,43,145,293,141,307,245,131,186,58,207,11,7
Sunset/Parkside,75948,16038,19439,2996,37376,22048,53612,7927,443,81,701,618,304,697,53,411,251,172,141,52,65,203,302,317,32,11
Financial District/South Beach,147742,45084,32673,5404,64478,34472,108269,23055,1016,1653,209,5085,913,1946,1165,143,92,366,268,106,665,337,826,297,262,17
Western Addition,71952,18399,17368,1427,34679,20722,51353,3067,156,36,69,307,129,374,23,115,76,68,47,9,57,84,139,141,12,2
Glen Park,9590,2846,2333,413,3982,2406,7118,1074,38,12,38,145,34,92,9,94,12,13,12,4,13,29,38,70,1,0
Noe Valley,21367,7878,4630,612,8227,4660,16100,3611,167,46,106,439,95,555,53,331,20,51,24,22,37,81,167,186,4,2
Outer Richmond,53162,12643,12711,3034,24717,13756,38057,5552,264,61,331,432,207,909,47,286,155,96,57,28,54,117,171,225,12,4
Excelsior,40344,7495,9747,1139,21899,12798,28073,2684,147,15,264,133,96,127,12,150,102,66,46,16,43,50,50,87,5,4
Potrero Hill,36312,9868,7247,2269,16876,9240,27360,3839,180,19,123,517,164,251,65,235,47,48,85,106,43,105,83,251,3,1
Marina,39759,14236,8223,2007,15255,8454,29806,5376,364,134,88,527,253,1019,43,240,16,101,79,7,65,92,263,124,15,2
Tenderloin,286693,52437,70780,3494,159558,90147,197677,4455,325,38,66,268,412,556,57,215,118,119,21,17,81,92,74,154,3,1
Mission,186202,36996,47812,5874,95359,54440,126720,11804,858,101,340,1006,732,1275,156,634,113,217,164,130,112,301,379,649,25,6
Nob Hill,68128,20248,14578,1395,31813,16896,49202,4659,253,36,55,448,214,904,57,194,49,107,54,23,47,110,268,170,7,0
Oceanview/Merced/Ingleside,26407,5771,6120,990,13490,7669,19080,1992,101,12,217,94,44,90,17,80,88,35,32,6,22,58,46,84,4,3
Haight Ashbury,32291,8361,7560,1029,15319,9179,23109,3083,223,14,70,277,115,582,30,266,28,34,22,25,30,93,82,143,2,1
West of Twin Peaks,43464,12097,10887,1322,19035,11596,31497,4692,250,58,300,581,150,423,66,235,72,85,71,27,56,114,244,198,23,5
Russian Hill,32054,10279,6788,1577,13375,6762,23958,3232,201,23,58,322,132,680,35,179,31,47,29,14,29,74,85,135,4,1
Castro/Upper Market,53601,13089,13044,1779,25632,13970,37565,4521,255,41,90,480,175,560,62,455,17,65,43,14,52,96,227,214,9,0
Lakeshore,31468,9571,8385,2262,11130,7399,22284,1127,139,9,39,65,110,78,3,11,43,25,12,8,12,23,56,35,0,1
Hayes Valley,52041,13636,11396,1201,25749,14089,37362,4228,322,22,87,439,237,656,41,228,36,61,30,14,47,82,226,207,4,1
Presidio Heights,16602,6198,3808,411,6170,3938,12188,2281,144,22,52,300,39,312,22,70,15,32,22,11,29,45,301,56,17,0
Inner Sunset,31336,9817,6685,910,13887,7816,23480,3511,178,30,164,367,157,585,21,199,50,38,39,14,34,72,138,157,12,0
Portola,19068,3448,5245,697,9641,5912,12910,1178,76,6,119,56,44,61,8,62,66,26,15,3,13,27,22,38,5,2
Bernal Heights,34653,7423,8519,1716,16900,9212,24454,3492,177,31,178,364,140,202,38,414,49,44,25,34,54,86,132,211,4,2
South of Market,213970,38070,54465,3096,118083,66771,145784,9343,660,120,161,1122,456,1256,395,296,121,174,200,155,148,241,183,382,27,14
Seacliff,3229,1225,612,312,1078,609,2614,214,6,7,13,31,0,35,3,15,1,4,2,2,8,5,8,8,0,0
Outer Mission,28654,5758,7787,1105,13981,8244,19785,1992,129,20,178,89,85,109,13,108,85,40,35,21,32,49,39,48,3,1
North Beach,46176,12063,10437,1887,21736,11490,33572,3343,253,71,50,375,199,484,87,130,43,47,51,14,59,59,50,113,12,1
Mission Bay,30426,8629,7329,1428,12983,7523,22323,2404,190,54,40,287,161,307,94,34,20,33,101,34,38,53,59,57,4,2
Chinatown,40689,13396,8704,863,17697,10659,29725,5157,452,315,55,757,304,667,111,67,31,109,65,24,105,87,148,101,44,2
Japantown,17926,4024,4663,187,9037,5971,12367,872,66,4,10,99,73,132,2,7,3,22,0,2,8,16,95,20,2,0
Inner Richmond,28008,7496,6544,1014,12929,6551,20295,3497,206,47,125,290,159,622,27,125,71,43,30,21,36,69,186,123,11,1
Pacific Heights,42000,16080,8751,1000,16139,9385,31618,4439,237,76,69,585,102,794,48,179,28,54,42,14,60,101,454,114,2,2
Twin Peaks,11682,3701,2688,246,5038,3456,8442,791,25,6,26,95,9,112,5,90,12,4,1,1,18,18,15,56,0,0
Lone Mountain/USF,25208,6530,6818,762,11060,6264,18395,2045,94,14,63,243,87,373,10,135,19,23,18,11,24,39,112,71,0,0
Visitacion Valley,24228,4544,5861,944,12845,7331,17108,1035,65,4,107,32,28,30,4,27,80,30,16,8,18,27,11,37,1,0
Lincoln Park,1982,563,308,454,657,278,1636,23,1,0,2,3,1,0,1,1,1,0,0,0,0,0,2,1,0,0
Presidio,10586,2860,1903,3104,2590,1551,8775,560,30,77,7,84,8,10,14,1,5,7,8,6,20,9,17,25,1,2
Golden Gate Park,12364,1526,3594,1208,6027,3061,8594,48,6,0,1,1,7,3,0,0,0,4,0,0,0,0,0,3,0,0
Treasure Island,14839,2264,4607,1830,6121,2435,9958,335,110,0,10,28,9,2,1,1,13,3,0,10,6,14,1,9,0,0
McLaren Park,2442,895,471,227,849,459,2009,24,0,0,5,2,1,0,0,1,1,0,1,0,0,1,0,0,0,0
